impacted_stakeholders,affordable housing and zoning,"building permits, inspections, and local ordinances",climate action and clean energy,job creation and business support,"parks, recreation, and public art","police, fire, and emergency response",public transportation and roads,"town governance, human resources, and board appointments",uncategorized initiatives,"waste management, stormwater, and infrastructure"
law enforcement,0,0,0,0,0,0,1,0,0,0
landscape architects,0,0,0,0,0,0,0,0,0,1
landlords,1,0,0,0,0,0,0,0,0,0
kids,0,0,0,0,1,0,0,0,0,0
it staff,0,0,0,0,0,0,0,1,0,0
involved law enforcement officers,0,0,0,0,0,1,0,0,0,0
"internet service providers (brightspeed, google fiber, lumos, spectrum)",0,0,0,0,0,0,0,0,0,1
internet service providers,0,0,0,0,0,0,1,0,0,0
internal affairs,0,0,0,0,0,1,0,0,0,0
insurance professionals,0,0,1,0,0,0,0,0,0,0
insurance companies,0,0,0,0,0,0,0,0,0,1
inspire placemaking collective,0,1,0,0,0,0,0,0,0,0
inspections department,0,1,0,0,0,0,0,0,0,0
infants,0,0,0,0,0,0,0,0,0,1
individuals with mental illness,0,0,0,0,0,1,0,0,0,0
local residents,0,0,0,0,0,0,1,0,0,0
local schools and programs,0,0,0,0,0,1,0,0,0,0
elected officials,0,0,0,0,0,0,0,1,0,0
new pet owners,0,0,0,0,0,0,0,0,1,0
naming committee,0,0,0,0,0,0,0,1,0,0
native plants and animals,0,0,1,0,0,0,0,0,0,0
nc department of transportation,0,0,0,0,0,0,1,0,0,0
ncdot,0,0,0,0,0,0,1,0,0,0
nearby residents or businesses,1,0,0,0,0,0,0,0,0,0
needy orange county families,0,0,0,0,0,0,0,0,1,0
new players,0,0,0,0,1,0,0,0,0,0
local streams,0,0,0,0,0,0,0,0,0,1
news media,0,0,0,0,0,0,0,1,0,0
non-drivers,0,0,0,0,0,0,1,0,0,0
non-english speaking residents,0,0,0,0,0,0,0,1,0,0
non-profit groups,0,0,0,0,0,0,0,1,0,0
non-profit organizations,1,0,0,0,0,0,0,0,0,0
nonprofit agencies,0,0,0,1,0,0,0,0,0,0
n.c. american water works association-water environment association,0,0,0,0,0,0,0,0,0,1
mortgage lenders,0,0,1,0,0,0,0,0,0,0
monument companies,0,0,0,0,0,0,0,0,0,1
mobile food vendors,0,0,0,1,0,0,0,0,0,0
merchants,0,0,0,1,0,0,0,0,0,0
mebane youth soccer association,0,0,0,0,1,0,0,0,0,0
mebane police department staff,0,0,0,0,0,1,0,0,0,0
mebane police department,0,0,0,0,0,1,0,0,0,0
mebane fire department,0,0,0,0,0,1,0,0,0,0
mebane community,0,0,0,0,0,1,0,0,0,0
mayor's office,0,0,0,0,0,0,0,1,0,0
mayor foushee,0,0,1,0,0,0,0,0,0,0
maple avenue residents,0,0,0,0,0,0,1,0,0,0
manager's office,0,0,0,0,0,0,0,1,0,0
"low-income, justice-involved individuals",0,0,0,0,0,1,0,0,0,0
low-income residents,1,0,0,0,0,0,0,0,0,0
low-income communities,0,0,1,0,0,0,0,0,0,0
individuals with lost property,0,0,0,0,0,1,0,0,0,0
individuals involved in orange county's criminal legal system,0,0,0,0,0,1,0,0,0,0
individuals in custody or at risk of incarceration,0,0,0,0,0,1,0,0,0,0
foster children,0,0,0,0,0,0,0,0,1,0
financial stakeholders,0,0,0,0,0,0,0,1,0,0
fire departments,0,0,0,0,0,0,0,0,0,1
firms,0,0,0,0,0,0,0,1,0,0
fish,0,0,0,0,0,0,0,0,0,1
fleet maintenance operations,0,0,0,0,0,0,0,0,0,1
formerly incarcerated people,0,0,0,0,0,1,0,0,0,0
fully vaccinated people,0,0,0,0,0,0,0,0,1,0
individuals experiencing discrimination,0,0,0,0,0,0,0,1,0,0
funeral directors,0,0,0,0,0,0,0,0,0,1
funeral homes,0,0,0,0,0,0,0,0,0,1
future generations,0,0,1,0,0,0,0,0,0,0
gfl environmental (contractor),0,0,0,0,0,0,0,0,0,1
gotriangle,0,0,0,0,0,0,1,0,0,0
government agencies,0,0,0,0,0,1,0,0,0,0
financial services department staff,0,0,0,0,0,0,0,1,0,0
financial services department,0,0,0,1,0,0,0,0,0,0
finance director,0,0,0,0,0,0,0,1,0,0
festival attendees,0,0,0,0,1,0,0,0,0,0
fema,0,0,0,0,0,0,0,0,0,1
federal government (previous funding),0,0,0,0,0,0,0,0,1,0
federal and state agencies,0,0,0,0,0,0,0,1,0,0
fans,0,0,0,0,0,0,1,0,0,0
families with infants,0,0,0,0,0,1,0,0,0,0
families with children,0,0,0,1,0,0,0,0,0,0
facility renters,0,0,0,0,0,0,0,1,0,0
etc institute,0,0,0,0,0,0,0,1,0,0
environmental advisory board,0,0,0,0,0,0,0,1,0,0
entry-level individuals,0,0,0,0,0,1,0,0,0,0
engineering services division,0,0,0,0,0,0,0,0,0,1
engineering services,0,1,0,0,0,0,0,0,0,0
emergency medical services personnel,0,0,0,0,0,1,0,0,0,0
greenways commission,0,0,0,0,0,0,0,1,0,0
gun owners,0,0,0,0,0,1,0,0,0,0
h.m. kern corporation,0,0,0,0,0,0,0,0,0,1
home-based business operators,0,0,0,1,0,0,0,0,0,0
indigent residents,0,0,0,0,0,1,0,0,0,0
income-qualified residents,0,0,0,0,0,0,0,0,1,0
immigrants,0,0,0,0,0,0,0,0,1,0
"humans, fish and wildlife",0,0,0,0,0,0,0,0,0,1
humane society,0,0,0,0,0,1,0,0,0,0
hrd,0,0,0,0,0,0,0,1,0,0
housing providers,0,0,0,0,0,0,0,1,0,0
housing developers,1,0,0,0,0,0,0,0,0,0
housing and human services commission members,1,0,0,0,0,0,0,0,0,0
housing & community development department,1,0,0,0,0,0,0,0,0,0
households,0,0,0,0,0,0,0,0,0,1
hotel/motel operators,0,0,0,1,0,0,0,0,0,0
homeowners and other tree owners,0,0,0,0,1,0,0,0,0,0
homeless and at-risk people,0,0,0,0,0,1,0,0,0,0
historic sites,0,0,0,1,0,0,0,0,0,0
habitat for humanity,1,0,0,0,0,0,0,0,0,0
historic district commission members,0,1,0,0,0,0,0,0,0,0
historic district commission,0,1,0,0,0,0,0,0,0,0
hillsborough visitors center,0,0,0,1,0,0,0,0,0,0
hillsborough utilities department,0,0,0,0,0,0,0,0,0,1
hillsborough town government,0,0,0,0,0,0,0,0,1,0
hillsborough public space and sustainability division,0,0,0,0,1,0,0,0,0,0
hillsborough police department staff,0,0,0,0,0,1,0,0,0,0
hillsborough police department personnel,0,0,0,0,0,1,0,0,0,0
hillsborough garden club,0,0,0,0,1,0,0,0,0,0
hillsborough community,0,0,0,0,0,1,0,0,0,0
heirs/legatees/devisees of plot owners,0,0,0,0,0,0,0,0,0,1
health educators,0,0,0,0,0,0,0,0,1,0
health department staff,0,0,0,0,0,0,0,0,1,0
health department,0,0,0,0,0,1,0,0,0,0
youth groups,0,0,0,0,0,1,0,0,0,0
