municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Hillsborough,11,"waste management, stormwater, and infrastructure","['sewer', 'customers', 'rates', 'cost', 'water', 'minimum', 'revenue', 'study', 'debt', 'program']",,"['water and sewer customers', 'residents', 'town employees', 'Orange County Department of Social Services', 'local churches', 'developers']","Hillsborough is implementing several initiatives to alleviate the high cost of water and sewer services for customers. These include conducting a rates study (completed FY2024 for FY2025-2040), reducing the monthly minimum water usage charge from 3,000 to 2,000 gallons since 2013, operating a Water Assistance Program since 2006 for eligible customers, increasing system efficiency through innovation, and reducing the number of expensive-to-maintain pump stations. The town aims to balance operational costs, debt payments for infrastructure upgrades (e.g., wastewater plant, reservoir), and state regulations.",3
Hillsborough,12,"waste management, stormwater, and infrastructure","['plant', 'treatment', 'wastewater', 'water', 'eno', 'report', 'quality', 'tours', 'prepare', 'cleans']",,"['residents', 'customers', 'Utilities Department staff', 'Environmental Protection Agency', 'North Carolina Division of Water Resources', 'public']","The Hillsborough Utilities Department manages the town's water and wastewater treatment, preparing drinking water from the Eno River and cleaning used water before returning it to the environment. This includes maintaining pipes, water tanks, booster pump stations, and sewage lift stations. The department regularly tests for contaminants, publishes annual Water Quality and Wastewater Quality Reports, and offers tours of its treatment plants. It adheres to state and federal regulations, including those for Falls Lake, which require high treatment standards.",3
Hillsborough,13,"police, fire, and emergency response","['shelters', 'weather', 'shelter', 'cold', 'emergency', 'pets', 'ready', 'disaster', 'stay', 'outages']",,"['residents', 'children', 'elderly people', 'pets', 'neighbors', 'emergency workers', 'utility customers']","Hillsborough provides information and guidelines for residents and town operations to prepare for and respond to winter weather and cold temperatures. Town crews prepare equipment for snow and ice removal, and residents are advised on heater safety, carbon monoxide prevention, protecting vulnerable individuals and pets, creating warm rooms, and preventing frozen pipes. The town emphasizes staying informed, preparing emergency kits, and avoiding unnecessary travel during severe weather to ensure community safety and efficient emergency response.",3
Hillsborough,14,"police, fire, and emergency response","['force', 'officer', 'resistance', 'reasonably', 'reasonable', 'injury', 'physical', 'use', 'deadly', 'shall']",,"['police officers', 'community members', 'suspects', 'third parties', 'State Bureau of Investigation', 'district attorney', 'medical personnel']","The Hillsborough Police Department has a comprehensive ""Use of Force Continuum"" policy that guides officers in responding to resistance. The policy emphasizes using all reasonable options to gain voluntary compliance before resorting to force, using only necessary force, and de-escalating when possible. It defines various levels of force from verbal commands to deadly force, outlines legal authority, and specifies reporting, review, and investigation procedures for use-of-force incidents, including mandatory debriefings for officers involved in deadly force events. The policy also includes provisions for less-lethal weapons and specific prohibitions.",3
Hillsborough,15,"waste management, stormwater, and infrastructure","['lead', 'copper', 'rule', 'drinking', 'agency', 'protection', 'testing', 'line', 'environmental', 'materials']",,"['residents', 'children', 'pregnant women', 'all adults', 'property owners', 'Utilities Department staff', 'Environmental Protection Agency', 'plumbers']","Hillsborough is actively implementing the revised EPA Lead and Copper Rule to protect public health from lead in drinking water. This includes developing a publicly available inventory of water service line materials by October 16, 2024, adding a corrosion inhibitor (orthophosphate) to the water, and conducting periodic water testing. The town also has a program to replace galvanized water mains. Residents are encouraged to help identify their private service line materials and are offered free internal water testing and tips to limit exposure.",3
Hillsborough,16,"parks, recreation, and public art","['reservations', 'event', 'reservation', 'special', 'events', 'permit', 'park', 'prohibited', 'parks', 'requested']",,"['Public', 'Event Organizers', 'Park Users', 'Businesses']","Hillsborough manages special event permits and facility reservations for public events in parks, including requirements for permits, prohibited activities, application timelines, and zoning compliance for banners and signs. Events are limited to 75 people and parks close 30 minutes after sunset.",3
Hillsborough,17,"waste management, stormwater, and infrastructure","['easements', 'easement', 'property', 'owners', 'mowing', 'way', 'clearing', 'debris', 'access', 'work']",,"['Property Owners', 'Town Public Works Division', 'Engineering Services Division', 'Community Members']","Hillsborough maintains drainage areas, rights of way, and utility easements, periodically mowing and clearing them to ensure water flow and utility access. Property owners are notified before work, are responsible for upkeep in easements and rights of way, and must maintain specific clearances around utility features. Easements give the town legal access for public uses and infrastructure work without removing property from owners.",3
Hillsborough,18,climate action and clean energy,"['debris', 'buffer', 'woody', 'stream', 'streams', 'riparian', 'rivers', 'buffers', 'habitat', 'aquatic']",,"['Community Members', 'Property Owners', 'Aquatic Ecosystems', 'Wildlife']","Hillsborough enforces a 50-foot riparian buffer along streams and the Eno River to protect water quality, control erosion, reduce flooding, and provide habitat. The town removes large woody debris from streams and rivers on a case-by-case basis when it obstructs infrastructure, while recognizing its ecological benefits.",3
Hillsborough,19,"building permits, inspections, and local ordinances","['permit', 'scam', 'email', 'permits', 'zoning', 'fees', 'riparian', 'stream', 'units', 'development']",,"['Developers', 'Real Estate Agents', 'Property Seekers', 'Utility Contractors', 'Residents', 'Community Services Department', 'Engineering Services', 'Public Works', 'Stormwater and Environmental Services']","Hillsborough regulates various work through permits, including driveway permits, utility cut permits, and stormwater management plans for new development. The town also enforces a 50-foot riparian buffer, requiring approval for any impact. Additionally, there's an alert about an email scam requesting permit fees.",3
Hillsborough,20,"town governance, human resources, and board appointments","['bank', 'payments', 'bills', 'account', 'payment', 'online', 'debit', 'draft', 'pay', 'register']",,"['Utility Customers', 'Residents']","Hillsborough offers multiple ways to pay utility bills, including online registration for viewing bills, setting up automatic payments via debit/credit cards or bank draft, and receiving text/email alerts. Payments can also be made through bank-originated bill pay, deposit box, in person, or mail. The town does not add fees for electronic payments.",3
Hillsborough,21,"town governance, human resources, and board appointments","['committee', 'assignments', 'represents', 'capacities', 'bell', 'darab', 'council', 'following', 'focus', 'central']",,"['Town Council Members', 'Community Members', 'Regional Organizations', 'Local Organizations']","This initiative details the committee assignments and representative capacities of Hillsborough town council members, such as Mark Bell and Darab. These roles involve participation in various regional and local boards and groups, reflecting their engagement in different community focus areas.",3
Hillsborough,22,"police, fire, and emergency response","['alerts', 'oc', 'notification', 'carrboro', 'mass', 'chapel', 'emergency', 'addresses', 'receive', 'hill']",,"['Residents', 'Community Members']","Hillsborough, in partnership with Orange County, utilizes the OC Alerts mass notification system for emergency messages such as water/sewer emergencies, evacuations, and missing persons. Residents are encouraged to subscribe and keep their contact information updated to receive alerts based on their specified locations.",3
Hillsborough,23,"waste management, stormwater, and infrastructure","['line', 'material', 'service', 'circle', 'map', 'lines', 'inventory', '1987', 'lead', 'unknown']",,"['Property Owners', 'Residents', 'Hillsborough Utilities Department', 'Environmental Protection Agency']","The Hillsborough Utilities Department is creating an inventory of water service line materials to identify lead service lines, as required by the EPA's Lead and Copper Rule. The town is seeking community help from property owners to identify unknown service line materials on the customer side, especially for homes built before 1987, using an online map and a material identification form.",3
Hillsborough,24,"town governance, human resources, and board appointments","['survey', 'institute', 'award', 'leading', 'community', '2023', 'engage', 'surveys', 'satisfaction', 'governments']",,"['Residents', 'Town Government', 'ETC Institute']","Hillsborough conducts a community survey every two years to assess resident satisfaction with town services, compare performance, and guide decision-making and budgeting. The town has received the 'Leading the Way Award' for high resident satisfaction in 2021 and 2023, ranking in the top 10% of U.S. local governments.",3
Hillsborough,25,"waste management, stormwater, and infrastructure","['odor', 'sewer', 'pipe', 'line', 'home', 'cleanout', 'main', 'blockages', 'way', 'lining']",,"['Residents', 'Homeowners', 'Plumbers', 'Contractors']","Hillsborough is undertaking a sewer pipe relining project, which may cause temporary sewer service disruptions and an odor due to the curing process. Residents are advised on how to avoid odor, what to do if odor occurs, and how to prevent sewer backups during the project, which is expected to start in November 2025.",3
Hillsborough,26,"police, fire, and emergency response","['investigation', 'bureau', 'attorney', 'criminal', 'debriefing', 'involved', 'incident', 'deadly', 'injury', 'aspects']",,"['police chief', 'State Bureau of Investigation', 'district attorney', 'involved law enforcement officers', 'public', 'command staff', 'officers', 'citizens']","Hillsborough has a policy requiring the State Bureau of Investigation to conduct independent criminal investigations into incidents involving deadly force by department members resulting in death or serious injury. This ensures objectivity and integrity, with findings submitted to the district attorney. It also includes administrative investigations, vehicular-related investigations by NC State Highway Patrol, administrative leave for involved officers, and critical incident debriefing with a psychologist.",4
Hillsborough,27,"waste management, stormwater, and infrastructure","['station', 'fema', 'project', 'grant', 'pump', '2025', 'pumping', 'program', 'stations', 'bric']",12400000.0,"['town water customers', 'Orange Water and Sewer Authority', 'UNC Hospitals Hillsborough Campus', 'Orange County/Hillsborough Economic Development District', 'residents near Eno River', 'FEMA', 'state']","Hillsborough is undertaking two major infrastructure projects: adding a booster pump station to improve water supply interconnection and relocating the River Pumping Station from a floodplain to increase sewer capacity. Both projects sought Building Resilient Infrastructure and Communities (BRIC) grants from FEMA, totaling over $12.4 million in estimated costs, with FEMA grants potentially covering a significant portion. The BRIC program experienced temporary cancellation but has since been reestablished.",3
Hillsborough,28,"waste management, stormwater, and infrastructure","['chlorine', 'disinfection', 'ammonia', 'water', 'bacteria', 'filters', 'flushing', 'filter', 'iron', 'manganese']",,"['town water customers', 'infants', 'residents with whole house filters', 'Water Treatment Plant staff', 'property owners', 'utility crews']","Hillsborough maintains water quality through a disinfection process using chlorine and ammonia to produce chloramines. The town conducts annual chlorine disinfection and periodic water system flushing to ensure high disinfection levels and remove sediment. The town also advises residents on issues related to whole-house filters, black residue from iron/manganese bacteria, and the importance of flushing water systems in underutilized buildings.",4
Hillsborough,29,"town governance, human resources, and board appointments","['budget', 'fiscal', 'financial', 'year', 'plan', 'june', '2026', 'july', '2027', 'statements']",,"['Budget Division staff', 'Financial Services Department staff', 'mayor', 'commissioners', 'community members', 'Tourism Board', 'Tourism Development Authority', 'property owners', 'utility users']","Hillsborough manages its finances through a three-year budget plan, with the first year being legally binding. The budget process involves staff proposals, retreats with elected officials, public hearings, and board votes, culminating in an approved budget effective July 1. The town operates with a General Fund, Stormwater Fund, and Water and Sewer Fund, and uses a strategic plan to align resources with priorities. Annual financial reports are also prepared and volunteer boards have their own budgets.",3
Hillsborough,30,"police, fire, and emergency response","['commander', 'incident', 'review', 'supervisor', 'chief', 'shall', 'force', 'findings', 'documentation', 'duty']",,"['officers', 'supervisors', 'commanders', 'police chief', 'command staff', 'internal affairs', 'citizens']","Hillsborough has a policy for supervisory and command review of all reportable use-of-force incidents. Supervisors conduct initial reviews, including scene observations, interviews, and documentation, forwarding findings to their commander. Division commanders then conduct a more comprehensive review, including past officer performance, and submit findings to the chief of police for final review. Potential policy violations or excessive force are immediately escalated to the commander or chief.",3
Hillsborough,31,"parks, recreation, and public art","['pollinator', 'garden', 'bee', 'native', 'pollinators', 'usa', 'city', 'initiatives', 'bees', 'sustainability']",,"['pollinators (bees)', 'Hillsborough residents', 'Hillsborough Garden Club', 'Hillsborough Public Space and Sustainability Division', 'Hillsborough Tree Board', 'Orange County Master Gardener Program', 'local beekeepers']","Hillsborough is a designated Bee City USA, committed to expanding pollinator-friendly practices and raising awareness about pollinators. Initiatives include maintaining pollinator gardens at various locations like Gold Park and downtown planters, with support from the Orange County Master Gardener Program. The town also provides resources for residents to create pollinator-friendly environments and coordinates with local beekeepers for honeybee swarms.",3
Hillsborough,32,public transportation and roads,"['station', 'train', 'future', 'site', 'transportation', 'railroad', 'presentation', 'design', 'passenger', 'platform']",800000.0,"['Hillsborough residents', 'state', 'North Carolina Railroad', 'Amtrak', 'GoTriangle', 'Clearscapes (design firm)', 'downtown Hillsborough']","Hillsborough is working with state and railroad partners to reestablish passenger rail service and build a new train station on a 20-acre site. The project includes designing a 7,000 sq ft station building, passenger platform, parking, and connectivity improvements, with a conceptual plan already in place. The design and engineering phase has a budget of up to $800,000, funded through the State Transportation Improvement Program and agreements with N.C. Department of Transportation and GoTriangle.",3
Hillsborough,33,public transportation and roads,"['roads', 'streets', 'maintained', 'maintenance', 'street', 'owned', 'works', 'division', 'repaving', 'oversees']",,"['Hillsborough residents', 'drivers', 'Public Works Division', 'state']","The Hillsborough Public Works Division is responsible for the maintenance of town-owned streets, including pothole repairs and repaving. The town aims to repave about 5% of its roads annually, typically on a 20-year cycle, using town and state funds. An engineering firm is engaged every five years to assess road conditions and inform maintenance decisions.",3
Hillsborough,34,"town governance, human resources, and board appointments","['county', 'commissioners', 'orange', 'board', 'housing', 'animal', 'input', 'advisory', 'affordable', 'serve']",,"['Hillsborough residents', 'Orange County Board of Commissioners', 'Orange County Animal Services', 'Orange County Affordable Housing Advisory Board', 'Orange County Human Relations Commission']","Hillsborough residents can serve on several Orange County boards, including the Affordable Housing Advisory Board, Animal Services Advisory Board, Animal Services Hearing Panel Pool, and Human Relations Commission. Appointments to these boards are made by the Orange County Board of Commissioners, often with input from the Hillsborough Board of Commissioners, allowing Hillsborough residents to contribute to county-level policy and services.",3
Hillsborough,35,"waste management, stormwater, and infrastructure","['usage', 'stage', 'supply', 'restrictions', 'begins', 'water', 'irrigation', 'level', 'drought', 'days']",,"['town water customers', 'mayor', 'property owners', 'construction-related businesses']","Hillsborough has a tiered drought policy to restrict water use during periods of short supply from the Eno River, Lake Orange, or the town's reservoir. The policy outlines three stages: voluntary restrictions (10% reduction, <180 days supply), mandatory restrictions (10-20% reduction, no pressure washing/private car washing, limited outdoor watering, <135 days supply), and rationing (30% reduction, no outdoor water usage, irrigation meters turned off, <90 days supply). The town also takes measures like lowering water pressure and enhancing public awareness during these stages.",3
